Player,Assist
Paul Pogba,7
Mohamed Salah,7
Gabriel Jesus,5
Mateo Kovacic,5
Trent Alexander-Arnold,4
Jarrod Bowen,4
Abdoulaye Doucouré,4
Michail Antonio,3
Saïd Benrahma,3
Bruno Fernandes,3
Emmanuel Dennis,3
Reece James,3
Declan Rice,3
Allan Saint-Maximin,3
César Azpilicueta,2
Leon Bailey,2
Patrick Bamford,2
Ricardo Pereira,2
João Cancelo,2
Conor Gallagher,2
Demarai Gray,2
Jack Grealish,2
Pascal Groß,2
Jordan Henderson,2
Kelechi Iheanacho,2
Danny Ings,2
Raúl Jiménez,2
Michael Keane,2
Joshua King,2
Victor Lindelöf,2
Ruben Loftus-Cheek,2
Matthew Lowton,2
Javier Manquillo,2
Nemanja Matic,2
Mason Mount,2
Michael Olise,2
Ayoze Pérez,2
Nathan Redmond,2
Sergio Reguilón,2
Bukayo Saka,2
Emile Smith Rowe,2
Douglas Luiz,2
Youri Tielemans,2
Ivan Toney,2
Andros Townsend,2
Ashley Westwood,2
Che Adams,1
Rayan Aït-Nouri,1
Thiago,1
Marcos Alonso,1
Joelinton,1
Adam Armstrong,1
Pierre-Emerick Aubameyang,1
Jordan Ayew,1
Roberto Firmino,1
Harvey Barnes,1
Christian Benteke,1
Steven Bergwijn,1
Yves Bissouma,1
Emiliano Buendía,1
Daniel Podence,1
Craig Cathcart,1
Ciaran Clark,1
Tom Cleverley,1
Liam Cooper,1
Vladimir Coufal,1
Aaron Cresswell,1
Patson Daka,1
Stuart Dallas,1
Richarlison,1
Leander Dendoncker,1
Ibrahima Diallo,1
Cristiano Ronaldo,1
Kiko Femenía,1
Phil Foden,1
Pablo Fornals,1
Jorginho,1
Rúben Dias,1
Saman Ghoddos,1
Jóhann Gudmundsson,1
Cucho Hernández,1
Pierre-Emile Højbjerg,1
Alex Iwobi,1
Daniel James,1
Pontus Jansson,1
Mathias Jensen,1
Curtis Jones,1
João Pedro,1
Harry Kane,1
Naby Keïta,1
Mateusz Klich,1
Emil Krafth,1
Adam Lallana,1
Manuel Lanzini,1
Alexis Mac Allister,1
Riyad Mahrez,1
José Sá,1
Solly March,1
Allan,1
James McArthur,1
John McGinn,1
Dwight McNeil,1
James Milner,1
Tyrone Mings,1
Tyrick Mitchell,1
Jakub Moder,1
Jacob Murphy,1
Mathias Normann,1
Christian Nørgaard,1
Alex Oxlade-Chamberlain,1
Nicolas Pépé,1
Kalvin Phillips,1
Ethan Pinnock,1
Milot Rashica,1
Matt Ritchie,1
Andrew Robertson,1
Jay Rodriguez,1
Luke Shaw,1
Son Heung-Min,1
Tomas Soucek,1
Boubakary Soumaré,1
Matt Targett,1
Fabinho,1
Charlie Taylor,1
Diogo Jota,1
Ferran Torres,1
Leandro Trossard,1
Konstantinos Tsimikas,1
Virgil van Dijk,1
Raphaël Varane,1
Jamie Vardy,1
Bernardo Silva,1
Joël Veltman,1
Matej Vydra,1
Timo Werner,1
Neco Williams,1
Wilfried Zaha,1
Ashley Barnes,0
Tom Davies,0
Harvey Elliott,0
Callum Hudson-Odoi,0
Ezri Konsa,0
Harry Maguire,0
Chris Wood,0
