Games Played Rank,Player,Club,Nationality,Games Played,Position
88,Aaron Connolly,Brighton and Hove Albion,Ireland,2,F
1,Aaron Cresswell,West Ham United,England,11,D
116,Aaron Lennon,Burnley,England,4,M
1,Aaron Wan-Bissaka,Manchester United,England,11,D
65,Abdoulaye Doucouré,Everton,France,8,M
19,Adam Armstrong,Southampton,England,10,F
131,Adam Forshaw,Leeds United,England,3,M
43,Adam Idah,Norwich City,Ireland,8,F
1,Adam Lallana,Brighton and Hove Albion,England,11,M
84,Adam Masina,Watford,Morocco,6,D
96,Adam Webster,Brighton and Hove Albion,England,5,D
19,Adama Traoré,Wolverhampton Wanderers,Spain,10,F
65,Ademola Lookman,Leicester City,England,6,F
75,Ainsley Maitland-Niles,Arsenal,England,7,M
24,Albert Sambi Lokonga,Arsenal,Belgium,10,M
38,Alex Iwobi,Everton,Nigeria,9,F
96,Alex Oxlade-Chamberlain,Liverpool,England,6,M
136,Alex Telles,Manchester United,Brazil,1,D
65,Alexandre Lacazette,Arsenal,France,6,F
41,Alexis Mac Allister,Brighton and Hove Albion,Argentina,9,M
1,Allan,Everton,Brazil,11,M
1,Allan Saint-Maximin,Newcastle United,France,11,F
131,André Gomes,Everton,Portugal,3,M
49,Andreas Christensen,Chelsea,Denmark,8,D
108,Andrew Omobamidele,Norwich City,Ireland,4,D
49,Andrew Robertson,Liverpool,Scotland,8,D
56,Andriy Yarmolenko,West Ham United,Ukraine,7,F
1,Andros Townsend,Everton,England,11,M
1,Angelo Ogbonna,West Ham United,Italy,11,D
43,Anthony Gordon,Everton,England,8,F
70,Anthony Martial,Manchester United,France,5,F
28,Antonio Rüdiger,Chelsea,Germany,10,D
96,Anwar El Ghazi,Aston Villa,Netherlands,6,M
56,Armando Broja,Southampton,Albania,7,F
136,Arthur Masuaku,West Ham United,DR Congo,1,D
43,Ashley Barnes,Burnley,England,8,F
88,Ashley Fletcher,Watford,England,2,F
24,Ashley Westwood,Burnley,England,10,M
84,Ashley Young,Aston Villa,England,6,D
71,Axel Tuanzebe,Aston Villa,England,7,D
49,Aymeric Laporte,Manchester City,Spain,8,D
78,Ayoze Pérez,Leicester City,Spain,4,F
136,Bali Mumba,Norwich City,England,1,D
96,Ben Chilwell,Chelsea,England,5,D
114,Ben Davies,Tottenham Hotspur,Wales,3,D
49,Ben Gibson,Norwich City,England,8,D
49,Ben Godfrey,Everton,England,8,D
105,Ben Johnson,West Ham United,England,5,M
49,Ben Mee,Burnley,England,8,D
136,Benjamin Mendy,Manchester City,France,1,D
40,Benjamin White,Arsenal,England,9,D
24,Bernardo Silva,Manchester City,Portugal,10,M
78,Bertrand Traoré,Aston Villa,Burkina Faso,4,F
116,Billy Gilmour,Norwich City,Scotland,4,M
41,Boubakary Soumaré,Leicester City,France,9,M
84,Brandon Williams,Norwich City,England,6,D
1,Bruno Fernandes,Manchester United,Portugal,11,M
70,Bryan Gil,Tottenham Hotspur,Spain,5,F
24,Bryan Mbeumo,Brentford,France,10,M
1,Bukayo Saka,Arsenal,England,11,F
1,Çaglar Söyüncü,Leicester City,Turkey,11,D
70,Callum Hudson-Odoi,Chelsea,England,5,F
56,Callum Wilson,Newcastle United,England,7,F
126,Calum Chambers,Arsenal,England,2,D
85,Cameron Archer,Aston Villa,England,3,F
150,Carney Chukwuemeka,Aston Villa,England,1,M
114,Cédric Soares,Arsenal,Portugal,3,D
49,César Azpilicueta,Chelsea,Spain,8,D
126,Charlie Cresswell,Leeds United,England,2,D
136,Charlie Goode,Brentford,England,1,D
28,Charlie Taylor,Burnley,England,10,D
43,Che Adams,Southampton,Scotland,8,F
41,Cheikhou Kouyaté,Crystal Palace,Senegal,9,M
1,Chris Wood,Burnley,New Zealand,11,F
1,Christian Benteke,Crystal Palace,Belgium,11,F
114,Christian Kabasele,Watford,Belgium,3,D
1,Christian Nørgaard,Brentford,Denmark,11,M
137,Christian Pulisic,Chelsea,United States,2,M
78,Christos Tzolis,Norwich City,Greece,4,F
40,Ciaran Clark,Newcastle United,Ireland,9,D
136,Cody Drameh,Leeds United,England,1,D
137,Cole Palmer,Manchester City,England,2,M
1,Conor Coady,Wolverhampton Wanderers,England,11,D
24,Conor Gallagher,Crystal Palace,England,10,M
40,Craig Cathcart,Watford,Northern Ireland,9,D
49,Craig Dawson,West Ham United,England,8,D
71,Cristian Romero,Tottenham Hotspur,Argentina,7,D
43,Cristiano Ronaldo,Manchester United,Portugal,8,F
116,Crysencio Summerville,Leeds United,Netherlands,4,M
43,Cucho Hernández,Watford,Colombia,8,F
105,Curtis Jones,Liverpool,England,5,M
96,Dan Burn,Brighton and Hove Albion,England,5,D
150,Dan Gosling,Watford,England,1,M
71,Daniel Amartey,Leicester City,Ghana,7,D
24,Daniel James,Leeds United,Wales,10,M
65,Daniel Podence,Wolverhampton Wanderers,Portugal,8,M
38,Danny Ings,Aston Villa,England,9,F
84,Danny Rose,Watford,England,6,D
78,Danny Welbeck,Brighton and Hove Albion,England,4,F
96,Davinson Sánchez,Tottenham Hotspur,Colombia,5,D
1,Declan Rice,West Ham United,England,11,M
75,Dele Alli,Tottenham Hotspur,England,7,M
1,Demarai Gray,Everton,England,11,F
71,Diego Llorente,Leeds United,Spain,7,D
71,Dimitris Giannoulis,Norwich City,Greece,7,D
114,Diogo Dalot,Manchester United,Portugal,3,D
19,Diogo Jota,Liverpool,Portugal,10,F
88,Divock Origi,Liverpool,Belgium,2,F
85,Dominic Calvert-Lewin,Everton,England,3,F
137,Donny van de Beek,Manchester United,Netherlands,2,M
65,Douglas Luiz,Aston Villa,Brazil,8,M
85,Dwight Gayle,Newcastle United,England,3,F
1,Dwight McNeil,Burnley,England,11,F
70,Edinson Cavani,Manchester United,Uruguay,5,F
136,Emerson,-,Italy,1,D
49,Emerson Royal,Tottenham Hotspur,Brazil,8,D
96,Emil Krafth,Newcastle United,Sweden,5,D
1,Emile Smith Rowe,Arsenal,England,11,M
41,Emiliano Buendía,Aston Villa,Argentina,9,M
19,Emmanuel Dennis,Watford,Nigeria,10,F
96,Enock Mwepu,Brighton and Hove Albion,Zambia,6,M
136,Eric Bailly,Manchester United,Cote D’Ivoire,1,D
1,Eric Dier,Tottenham Hotspur,England,11,D
114,Erik Pieters,Burnley,Netherlands,3,D
1,Ethan Pinnock,Brentford,Jamaica,11,D
28,Ezri Konsa,Aston Villa,England,10,D
131,Fabian Delph,Everton,England,3,M
126,Fabian Schär,Newcastle United,Switzerland,2,D
75,Fabinho,Liverpool,Brazil,7,M
56,Fábio Silva,Wolverhampton Wanderers,Portugal,7,F
96,Federico Fernández,Newcastle United,Argentina,5,D
96,Fernandinho,Manchester City,Brazil,6,M
78,Ferran Torres,Manchester City,Spain,4,F
88,Folarin Balogun,Arsenal,England,2,F
114,Francisco Sierralta,Watford,Chile,3,D
41,Frank Onyeka,Brentford,Nigeria,9,M
41,Fred,Manchester United,Brazil,9,M
19,Gabriel Jesus,Manchester City,Brazil,10,F
49,Gabriel Magalhães,Arsenal,Brazil,8,D
105,Gabriel Martinelli,Arsenal,Brazil,5,M
75,Giovani Lo Celso,Tottenham Hotspur,Argentina,7,M
116,Granit Xhaka,Arsenal,Switzerland,4,M
28,Grant Hanley,Norwich City,Scotland,10,D
116,Hakim Ziyech,Chelsea,Morocco,4,M
150,Hamza Choudhury,Leicester City,England,1,M
19,Harry Kane,Tottenham Hotspur,England,10,F
28,Harry Maguire,Manchester United,England,10,D
137,Harry Winks,-,England,2,M
41,Harvey Barnes,Leicester City,England,9,M
116,Harvey Elliott,-,England,4,M
98,Hélder Costa,-,Angola,1,F
43,Hwang Hee-Chan,Wolverhampton Wanderers,South Korea,8,F
41,Ibrahima Diallo,Southampton,France,9,M
114,Ibrahima Konaté,Liverpool,France,3,D
75,Ilkay Gündogan,Manchester City,Germany,7,M
150,Imran Louza,Watford,Morocco,1,M
24,Isaac Hayden,Newcastle United,England,10,M
1,Ismaila Sarr,Watford,Senegal,11,F
1,Ivan Toney,Brentford,England,11,F
116,Jack Cork,Burnley,England,4,M
41,Jack Grealish,Manchester City,England,9,M
41,Jack Harrison,Leeds United,England,9,M
96,Jack Stephens,Southampton,England,5,D
41,Jacob Murphy,Newcastle United,England,9,M
24,Jacob Ramsey,Aston Villa,England,10,M
150,Jaden Philogene-Bidace,Aston Villa,England,1,M
43,Jadon Sancho,Manchester United,England,8,F
137,Jairo Riedewald,Crystal Palace,Netherlands,2,M
24,Jakub Moder,Brighton and Hove Albion,Poland,10,M
49,Jamaal Lascelles,Newcastle United,England,8,D
136,Jamal Lewis,Newcastle United,Northern Ireland,1,D
1,James Maddison,Leicester City,England,11,M
1,James McArthur,Crystal Palace,Scotland,11,M
105,James Milner,Liverpool,England,5,M
1,James Tarkowski,Burnley,England,11,D
136,James Tomkins,Crystal Palace,England,1,D
41,James Ward-Prowse,Southampton,England,9,M
65,Jamie Shackleton,Leeds United,England,8,M
1,Jamie Vardy,Leicester City,England,11,F
49,Jan Bednarek,Southampton,Poland,8,D
71,Jannik Vestergaard,Leicester City,Denmark,7,D
96,Japhet Tanganga,Tottenham Hotspur,England,5,D
1,Jarrod Bowen,West Ham United,England,11,F
71,Javier Manquillo,Newcastle United,Spain,7,D
43,Jay Rodriguez,Burnley,England,8,F
137,Jean-Philippe Gbamin,Everton,Cote D’Ivoire,2,M
88,Jean-Philippe Mateta,Crystal Palace,France,2,F
137,Jeff Hendrick,Newcastle United,Ireland,2,M
65,Jeffrey Schlupp,Crystal Palace,Ghana,8,M
71,Jeremy Ngakia,Watford,England,7,D
105,Jesse Lingard,Manchester United,England,5,M
150,Jesurun Rak-Sakyi,Crystal Palace,England,1,M
1,Joachim Andersen,Crystal Palace,Denmark,11,D
1,João Cancelo,Manchester City,Portugal,11,D
1,João Moutinho,Wolverhampton Wanderers,Portugal,11,M
65,João Pedro,Watford,Brazil,6,F
88,Joe Gelhardt,Leeds United,England,2,F
