Player,Interceptions
Charlie Taylor,32
Michael Keane,30
Mohammed Salisu,27
João Cancelo,26
Liam Cooper,21
Declan Rice,21
Grant Hanley,20
Tyrick Mitchell,20
Sergio Reguilón,20
Romain Saïss,19
James Tarkowski,19
Josh Brownhill,18
Lewis Dunk,18
Trent Alexander-Arnold,17
Joachim Andersen,17
Valentino Livramento,17
Wilfred Ndidi,17
Ethan Pinnock,17
Ashley Westwood,17
Yves Bissouma,16
Matthew Cash,16
Jan Bednarek,15
Andreas Christensen,15
Pierre-Emile Højbjerg,15
Cheikhou Kouyaté,15
Matthew Lowton,15
Christian Nørgaard,15
Oriol Romeu,15
Tomas Soucek,15
Aaron Wan-Bissaka,15
Stuart Dallas,14
Pontus Jansson,14
Maximilian Kilman,14
Pascal Struijk,14
Matt Targett,14
Benjamin White,14
Thiago Silva,13
Shane Duffy,13
Emerson Royal,13
James McArthur,13
Dwight McNeil,13
Danny Rose,13
João Moutinho,13
Sergi Canós,12
Ciaran Clark,12
Raphinha,12
Eric Dier,12
Adam Lallana,12
Marçal,12
Scott McTominay,12
Tyrone Mings,12
Cristian Romero,12
Douglas Luiz,12
Çaglar Söyüncü,12
Joël Veltman,12
Marcos Alonso,11
Craig Cathcart,11
Conor Coady,11
Séamus Coleman,11
Lucas Digne,11
Ben Gibson,11
Joel Matip,11
Ben Mee,11
Angelo Ogbonna,11
Fabinho,11
Andros Townsend,11
Virgil van Dijk,11
Joel Ward,11
Miguel Almirón,10
Ricardo Pereira,10
Aaron Cresswell,10
Jorginho,10
Isaac Hayden,10
John McGinn,10
Moussa Sissoko,10
Takehiro Tomiyasu,10
Brandon Williams,10
Kurt Zouma,10
Dan Burn,9
Craig Dawson,9
Abdoulaye Doucouré,9
Demarai Gray,9
Zanka,9
Ezri Konsa,9
Yerry Mina,9
Albert Sambi Lokonga,9
Boubakary Soumaré,9
Luke Thomas,9
James Ward-Prowse,9
Max Aarons,8
Joelinton,8
Rúben Neves,8
Pablo Fornals,8
Marc Guéhi,8
Ben Johnson,8
Juraj Kucka,8
Trincão,8
James Milner,8
Jacob Murphy,8
Mathias Normann,8
Kalvin Phillips,8
Andrew Robertson,8
Antonio Rüdiger,8
Oliver Skipp,8
Jack Stephens,8
Kyle Walker-Peters,8
Joseph Willock,8
Kristoffer Ajer,7
César Azpilicueta,7
Timothy Castagne,7
Nathan Collins,7
Conor Gallagher,7
Jordan Henderson,7
Rico Henry,7
Ozan Kabak,7
Diego Llorente,7
Harry Maguire,7
Sadio Mané,7
Frank Onyeka,7
Nicolas Pépé,7
Paul Pogba,7
Bukayo Saka,7
Luke Shaw,7
Youri Tielemans,7
Jordan Ayew,6
Jarrod Bowen,6
Gabriel Jesus,6
Jóhann Gudmundsson,6
Kortney Hause,6
Mason Holgate,6
Raúl Jiménez,6
Jamaal Lascelles,6
Pierre Lees-Melou,6
Victor Lindelöf,6
Nemanja Matic,6
Thomas Partey,6
Romain Perraud,6
Fred,6
Lucas Moura,6
Ismaila Sarr,6
Jamie Shackleton,6
Emile Smith Rowe,6
Adam Webster,6
Daniel Amartey,5
Nélson Semedo,5
Vladimir Coufal,5
Peter Etebo,5
Jonny Evans,5
Junior Firpo,5
Rúben Dias,5
Dimitris Giannoulis,5
Billy Gilmour,5
Rodri,5
Alex Iwobi,5
Vitaly Janelt,5
Ibrahima Konaté,5
Sean Longstaff,5
Adam Masina,5
Enock Mwepu,5
Andrew Omobamidele,5
Milot Rashica,5
Matt Ritchie,5
Joshua Sargent,5
Malang Sarr,5
Japhet Tanganga,5
Ivan Toney,5
Axel Tuanzebe,5
Bernardo Silva,5
Kyle Walker,5
Emiliano Buendía,4
Trevoh Chalobah,4
Ben Chilwell,4
Tom Cleverley,4
Marc Cucurella,4
Fabian Delph,4
Emmanuel Dennis,4
Ben Godfrey,4
Anthony Gordon,4
Ilkay Gündogan,4
N'Golo Kanté,4
Naby Keïta,4
Sead Kolasinac,4
Mateo Kovacic,4
Emil Krafth,4
Ainsley Maitland-Niles,4
Solly March,4
Allan,4
Kenny McLean,4
Luka Milivojevic,4
Rodrigo,4
Jeremy Ngakia,4
Alex Oxlade-Chamberlain,4
Jacob Ramsey,4
Allan Saint-Maximin,4
Jeffrey Schlupp,4
William Troost-Ekong,4
Raphaël Varane,4
Jannik Vestergaard,4
Granit Xhaka,4
Ashley Young,4
Dele Alli,3
Luke Ayling,3
Bruno Fernandes,3
Dominic Calvert-Lewin,3
Todd Cantwell,3
Hamza Choudhury,3
Richarlison,3
Gabriel Magalhães,3
Harvey Elliott,3
Mohamed Elyounoussi,3
Kiko Femenía,3
Saman Ghoddos,3
Pascal Groß,3
Jack Harrison,3
Hwang Hee-Chan,3
Daniel James,3
Robin Koch,3
Tariq Lamptey,3
Aymeric Laporte,3
James Maddison,3
Javier Manquillo,3
Pablo Marí,3
Mason Mount,3
Marvelous Nakamba,3
Nathan Redmond,3
Lukas Rupp,3
Davinson Sánchez,3
Jadon Sancho,3
Leandro Trossard,3
Konstantinos Tsimikas,3
Theo Walcott,3
Martin Ødegaard,3
Che Adams,2
Thiago,2
Stuart Armstrong,2
Saïd Benrahma,2
Edinson Cavani,2
Jack Cork,2
Maxwel Cornet,2
Ben Davies,2
Tom Davies,2
Kevin De Bruyne,2
Ibrahima Diallo,2
Moussa Djenepo,2
Federico Fernández,2
Phil Foden,2
Kai Havertz,2
Ki-Jana Hoever,2
Rob Holding,2
Callum Hudson-Odoi,2
Kelechi Iheanacho,2
Danny Ings,2
Reece James,2
Mathias Jensen,2
Christian Kabasele,2
Alexandre Lacazette,2
Ademola Lookman,2
Fernandinho,2
Alexis Mac Allister,2
Bryan Mbeumo,2
Jakub Moder,2
Teemu Pukki,2
Mads Roerslev,2
Mohamed Salah,2
Raheem Sterling,2
Diogo Jota,2
Kieran Tierney,2
Adama Traoré,2
Ozan Tufan,2
Nuno Tavares,2
Ollie Watkins,2
Harry Winks,2
Oleksandr Zinchenko,2
Hakim Ziyech,2
Rayan Aït-Nouri,1
Marc Albrighton,1
Cédric Soares,1
Michail Antonio,1
Adam Armstrong,1
