Player,Passes
João Cancelo,862
Virgil van Dijk,817
Rúben Dias,793
Pierre-Emile Højbjerg,789
Lewis Dunk,781
Marc Guéhi,773
Joachim Andersen,746
Rodri,738
Jordan Henderson,729
Çaglar Söyüncü,711
Liam Cooper,695
Antonio Rüdiger,694
Declan Rice,642
Andreas Christensen,639
Joel Matip,638
Youri Tielemans,637
Trent Alexander-Arnold,634
Aymeric Laporte,625
Aaron Cresswell,624
Mohammed Salisu,618
Kyle Walker,603
Shane Duffy,599
Romain Saïss,597
Rúben Neves,593
Adam Lallana,581
Eric Dier,580
Jorginho,573
Oriol Romeu,562
Joel Ward,560
James McArthur,557
Bruno Fernandes,545
João Moutinho,541
Thiago Silva,536
Aaron Wan-Bissaka,535
Bernardo Silva,534
Maximilian Kilman,529
Mateo Kovacic,526
Christian Nørgaard,525
Harry Maguire,522
Andrew Robertson,521
Luke Shaw,519
Oliver Skipp,518
Ethan Pinnock,500
Fred,499
Tomas Soucek,484
Tyrick Mitchell,477
Angelo Ogbonna,474
Conor Coady,472
Ashley Westwood,472
Robert Sánchez,466
Tyrone Mings,460
William Troost-Ekong,457
Pontus Jansson,456
Paul Pogba,446
Pablo Fornals,441
Kalvin Phillips,438
Benjamin White,438
James Ward-Prowse,434
Grant Hanley,430
Albert Sambi Lokonga,429
Gabriel Magalhães,427
Michael Keane,426
Victor Lindelöf,421
Stuart Dallas,419
César Azpilicueta,412
Marc Cucurella,409
Pascal Struijk,406
Daniel Amartey,403
Allan,400
Kasper Schmeichel,399
Tim Krul,398
Ben Gibson,394
Lucas Digne,387
Valentino Livramento,386
David Raya,386
Wilfred Ndidi,385
Mohamed Salah,385
Leandro Trossard,385
Matt Targett,384
Jan Bednarek,381
Luke Ayling,376
Raphaël Varane,373
Matt Ritchie,368
Jack Grealish,367
Pascal Groß,363
Diego Llorente,363
Fabinho,363
Nélson Semedo,361
Sergio Reguilón,361
Matthew Lowton,360
Illan Meslier,357
James Tarkowski,357
Matthew Cash,354
Joël Veltman,354
Gabriel Jesus,353
Ilkay Gündogan,353
Ezri Konsa,351
Takehiro Tomiyasu,351
Yves Bissouma,349
Timothy Castagne,346
Abdoulaye Doucouré,343
Emerson Royal,343
Saïd Benrahma,338
Kenny McLean,337
Cristian Romero,336
Emile Smith Rowe,335
Josh Brownhill,334
Rico Henry,332
Charlie Taylor,330
Sean Longstaff,326
Marçal,325
Max Aarons,322
Lucas Moura,322
Conor Gallagher,321
Pierre Lees-Melou,321
Son Heung-Min,319
Trevoh Chalobah,316
Raphinha,311
Adam Webster,311
Vladimir Coufal,308
Alisson,303
Sadio Mané,302
John McGinn,302
Ben Mee,302
Bukayo Saka,301
Kevin De Bruyne,300
Scott McTominay,300
Dwight McNeil,299
Moussa Sissoko,298
Sergi Canós,297
Séamus Coleman,297
Alex McCarthy,297
Emiliano Martínez,296
Raúl Jiménez,290
Jonny Evans,288
Wilfried Zaha,286
Craig Cathcart,285
Thomas Partey,285
Ricardo Pereira,284
Ciaran Clark,284
Isaac Hayden,284
Vicente Guaita,282
Reece James,282
Martin Ødegaard,282
Boubakary Soumaré,281
Kurt Zouma,281
Mason Greenwood,280
Nick Pope,275
Douglas Luiz,275
Kieran Tierney,273
Cheikhou Kouyaté,271
Juraj Kucka,271
Jamie Shackleton,269
Kyle Walker-Peters,267
Mateusz Klich,264
Jannik Vestergaard,264
James Milner,263
Allan Saint-Maximin,261
Jordan Pickford,259
Ben Godfrey,258
Édouard Mendy,258
Hugo Lloris,257
Nemanja Matic,256
Demarai Gray,255
Ivan Toney,252
Ederson,249
Rodrigo,246
Marcos Alonso,245
Ozan Kabak,245
N'Golo Kanté,243
Phil Foden,242
Mathias Normann,241
Nathan Redmond,241
Tanguy Ndombele,239
Aaron Ramsdale,238
Andros Townsend,238
Ben Chilwell,236
Junior Firpo,236
Axel Tuanzebe,235
Craig Dawson,229
Jack Stephens,229
José Sá,228
Vitaly Janelt,227
Nathan Aké,226
Harry Kane,226
Jakub Moder,223
Jarrod Bowen,222
Curtis Jones,222
Jack Harrison,221
Jordan Ayew,220
Jamaal Lascelles,220
Lukasz Fabianski,218
David de Gea,217
Ismaila Sarr,217
Cristiano Ronaldo,216
Ben Foster,216
Kai Havertz,216
Zanka,216
Naby Keïta,216
Billy Gilmour,215
James Maddison,215
Michail Antonio,214
Mathias Jensen,214
Luka Milivojevic,211
Bryan Mbeumo,208
Mason Mount,208
Harvey Barnes,207
Adam Masina,207
Dan Burn,204
Chris Wood,203
Thiago,199
Hwang Hee-Chan,199
Karl Darlow,198
Mohamed Elyounoussi,198
Davinson Sánchez,198
Emiliano Buendía,197
Nicolas Pépé,197
Diogo Jota,197
Joelinton,195
Jadon Sancho,194
Brandon Williams,194
Luke Thomas,193
Federico Fernández,192
Trincão,189
Danny Rose,189
Miguel Almirón,187
Granit Xhaka,187
Ruben Loftus-Cheek,185
Solly March,182
Neal Maupay,182
Ibrahima Konaté,179
Harvey Elliott,178
Kristoffer Ajer,177
Christian Benteke,177
Adama Traoré,177
Dele Alli,173
Roberto Firmino,173
Dimitris Giannoulis,172
Riyad Mahrez,165
Marvelous Nakamba,165
Teemu Pukki,165
Tom Cleverley,162
Emmanuel Dennis,161
Jóhann Gudmundsson,160
Ben Johnson,160
Yerry Mina,157
Peter Etebo,155
John Stones,155
Jeremy Ngakia,154
Ibrahima Diallo,153
Frank Onyeka,153
Callum Hudson-Odoi,152
Joseph Willock,152
Alex Oxlade-Chamberlain,151
Ollie Watkins,151
Fernandinho,149
Adam Armstrong,147
Pierre-Emerick Aubameyang,147
Daniel James,147
Ashley Young,147
Ryan Bertrand,145
Alex Iwobi,144
Jacob Ramsey,144
Javier Manquillo,142
Jacob Murphy,142
Konstantinos Tsimikas,139
Odsonne Édouard,135
Alexis Mac Allister,134
Japhet Tanganga,132
Milot Rashica,131
Giovani Lo Celso,130
Andrew Omobamidele,130
Raheem Sterling,130
Ben Davies,129
Kiko Femenía,128
Francisco Sierralta,128
Jamie Vardy,128
Nuno Tavares,128
Kelechi Iheanacho,127
Kortney Hause,126
Mason Holgate,124
Joshua King,124
Che Adams,123
Moussa Djenepo,123
Rayan Aït-Nouri,122
Leander Dendoncker,121
Ademola Lookman,121
Lukas Rupp,120
Joshua Sargent,118
Danny Ings,116
Emil Krafth,115
Todd Cantwell,114
Ainsley Maitland-Niles,114
Romelu Lukaku,109
Romain Perraud,108
Christian Kabasele,107
Freddie Woodman,107
Cucho Hernández,105
Tyler Roberts,105
Daniel Bachmann,102
Nathan Collins,96
Alexandre Lacazette,96
Jonjo Shelvey,95
Salomón Rondón,94
Enock Mwepu,93
Timo Werner,93
Richarlison,92
Anthony Gordon,92
Pablo Marí,92
Fabian Schär,91
Patrick Bamford,86
Ross Barkley,86
Ashley Barnes,86
Ozan Tufan,85
Calum Chambers,82
Maxwel Cornet,80
Anwar El Ghazi,80
Hakim Ziyech,79
Álvaro Fernández,78
Bernd Leno,78
Benjamin Mendy,77
Charlie Cresswell,75
Adam Forshaw,75
Steven Bergwijn,74
Fabian Delph,74
Saman Ghoddos,73
Daniel Podence,71
Jack Cork,71
Michael Olise,71
Leon Bailey,70
Ferran Torres,70
Ken Sema,68
Malang Sarr,66
Anthony Martial,65
Stuart Armstrong,60
Edinson Cavani,60
Callum Wilson,60
Shandon Baptiste,59
Tom Davies,59
João Pedro,59
Charlie Goode,58
Cédric Soares,55
Tariq Lamptey,55
Jeffrey Schlupp,55
Kieran Dowell,54
Rob Holding,54
Armando Broja,53
Oleksandr Zinchenko,52
Steven Alzate,51
Theo Walcott,51
Ayoze Pérez,49
Dominic Calvert-Lewin,48
Marc Albrighton,47
Manuel Lanzini,47
Ryan Fraser,46
André Gomes,45
Jairo Riedewald,44
Saúl Ñíguez,43
Christos Tzolis,43
Erik Pieters,41
Marcus Rashford,41
Jesse Lingard,39
Nicolas Nkoulou,39
Danny Welbeck,39
Ki-Jana Hoever,38
Caoimhin Kelleher,38
Crysencio Summerville,38
Nikola Vlasic,36
Jay Rodriguez,35
Hamza Choudhury,34
Bryan Gil,34
Zack Steffen,33
Jed Steer,31
Christian Pulisic,30
Marcus Forss,29
Diogo Dalot,28
Jeff Hendrick,27
Robin Koch,27
Matej Vydra,26
Kepa Arrizabalaga,24
Aaron Lennon,23
Gabriel Martinelli,23
Bertrand Traoré,23
