Player,Shots on Target
Mohamed Salah,24
Michail Antonio,13
Mason Greenwood,13
Sadio Mané,13
Ismaila Sarr,13
Pierre-Emerick Aubameyang,12
Jarrod Bowen,12
Raphinha,12
Leandro Trossard,12
Jamie Vardy,12
Cristiano Ronaldo,11
Conor Gallagher,10
Harry Kane,10
Emile Smith Rowe,10
Son Heung-Min,10
Ollie Watkins,10
Saïd Benrahma,9
Gabriel Jesus,9
Emmanuel Dennis,9
Phil Foden,9
Mateusz Klich,9
Rodrigo,9
Diogo Jota,9
Ivan Toney,9
Andros Townsend,9
Chris Wood,9
Adam Armstrong,8
Harvey Barnes,8
João Cancelo,8
Pablo Fornals,8
Trincão,8
Youri Tielemans,8
Bruno Fernandes,7
Dominic Calvert-Lewin,7
Maxwel Cornet,7
Odsonne Édouard,7
Jack Grealish,7
Mason Mount,7
Christian Nørgaard,7
Milot Rashica,7
James Ward-Prowse,7
Roberto Firmino,6
Christian Benteke,6
Sergi Canós,6
Mohamed Elyounoussi,6
Danny Ings,6
Raúl Jiménez,6
Joshua King,6
Romelu Lukaku,6
Dwight McNeil,6
Nicolas Pépé,6
Allan Saint-Maximin,6
Bernardo Silva,6
Callum Wilson,6
Wilfried Zaha,6
Che Adams,5
Trent Alexander-Arnold,5
Armando Broja,5
Ben Chilwell,5
Abdoulaye Doucouré,5
Shane Duffy,5
Demarai Gray,5
Kai Havertz,5
Reece James,5
Juraj Kucka,5
James Maddison,5
Solly March,5
Neal Maupay,5
Bryan Mbeumo,5
Mathias Normann,5
Teemu Pukki,5
Bukayo Saka,5
Albert Sambi Lokonga,5
Tomas Soucek,5
Timo Werner,5
Marcos Alonso,4
Joelinton,4
Leon Bailey,4
Patrick Bamford,4
Rúben Neves,4
Patson Daka,4
Kevin De Bruyne,4
Pascal Groß,4
Hwang Hee-Chan,4
Pierre-Emile Højbjerg,4
Kelechi Iheanacho,4
Vitaly Janelt,4
Riyad Mahrez,4
Ethan Pinnock,4
Lucas Moura,4
Romain Saïss,4
Raheem Sterling,4
Ferran Torres,4
Adama Traoré,4
Danny Welbeck,4
Ashley Barnes,3
Steven Bergwijn,3
Emiliano Buendía,3
Edinson Cavani,3
Richarlison,3
Saman Ghoddos,3
Ben Godfrey,3
Jóhann Gudmundsson,3
Ilkay Gündogan,3
Jordan Henderson,3
Cucho Hernández,3
Callum Hudson-Odoi,3
Pontus Jansson,3
Michael Keane,3
Naby Keïta,3
Ezri Konsa,3
Mateo Kovacic,3
Alexandre Lacazette,3
Jesse Lingard,3
Ademola Lookman,3
Anthony Martial,3
John McGinn,3
Kenny McLean,3
Jacob Murphy,3
Tanguy Ndombele,3
Thomas Partey,3
Paul Pogba,3
Marcus Rashford,3
Fred,3
Jay Rodriguez,3
Antonio Rüdiger,3
Fabinho,3
Matej Vydra,3
Hakim Ziyech,3
Thiago,2
Dele Alli,2
Jordan Ayew,2
Nélson Semedo,2
Matthew Cash,2
Trevoh Chalobah,2
Aaron Cresswell,2
Thiago Silva,2
Stuart Dallas,2
Tom Davies,2
Craig Dawson,2
Eric Dier,2
Gabriel Magalhães,2
Lewis Dunk,2
Anwar El Ghazi,2
Jorginho,2
Ben Gibson,2
Jack Harrison,2
Rodri,2
Alex Iwobi,2
Daniel James,2
Maximilian Kilman,2
Adam Lallana,2
Pierre Lees-Melou,2
Valentino Livramento,2
Ruben Loftus-Cheek,2
Sean Longstaff,2
Alexis Mac Allister,2
Harry Maguire,2
Javier Manquillo,2
Tyrone Mings,2
Divock Origi,2
Ayoze Pérez,2
Christian Pulisic,2
Jacob Ramsey,2
Nathan Redmond,2
Declan Rice,2
Tyler Roberts,2
João Moutinho,2
Moussa Sissoko,2
Boubakary Soumaré,2
James Tarkowski,2
Virgil van Dijk,2
Joseph Willock,2
Yoane Wissa,2
Martin Ødegaard,2
Max Aarons,1
Rayan Aït-Nouri,1
Marc Albrighton,1
Miguel Almirón,1
Luke Ayling,1
Ross Barkley,1
Yves Bissouma,1
Josh Brownhill,1
Daniel Podence,1
Tom Cleverley,1
Conor Coady,1
Vladimir Coufal,1
Marc Cucurella,1
Ibrahima Diallo,1
Lucas Digne,1
Moussa Djenepo,1
Harvey Elliott,1
Jonny Evans,1
Federico Fernández,1
Ashley Fletcher,1
Ryan Fraser,1
Joe Gelhardt,1
Anthony Gordon,1
Marc Guéhi,1
Grant Hanley,1
Kortney Hause,1
Isaac Hayden,1
Jeff Hendrick,1
Rico Henry,1
Adam Idah,1
Ben Johnson,1
Curtis Jones,1
Zanka,1
N'Golo Kanté,1
Emil Krafth,1
Tariq Lamptey,1
Aymeric Laporte,1
Jamaal Lascelles,1
Diego Llorente,1
Giovani Lo Celso,1
Matthew Lowton,1
Allan,1
Gabriel Martinelli,1
Nemanja Matic,1
Joel Matip,1
James McArthur,1
Scott McTominay,1
Ben Mee,1
Yerry Mina,1
Jakub Moder,1
Enock Mwepu,1
Mark Noble,1
Angelo Ogbonna,1
Michael Olise,1
Andrew Omobamidele,1
Frank Onyeka,1
Kalvin Phillips,1
Andrew Robertson,1
Salomón Rondón,1
Mohammed Salisu,1
Jadon Sancho,1
Joshua Sargent,1
Jeffrey Schlupp,1
Jamie Shackleton,1
Luke Shaw,1
Fábio Silva,1
Çaglar Söyüncü,1
Japhet Tanganga,1
André Gomes,1
Kieran Tierney,1
Takehiro Tomiyasu,1
Konstantinos Tsimikas,1
Axel Tuanzebe,1
Nuno Tavares,1
Kyle Walker,1
Aaron Wan-Bissaka,1
Joel Ward,1
Ashley Westwood,1
Kurt Zouma,1
Folarin Balogun,0
Timothy Castagne,0
Liam Cooper,0
Matt Ritchie,0
Pascal Struijk,0
Benjamin White,0
