Player,Tackles
Pierre-Emile Højbjerg,33
Allan,33
Tyrick Mitchell,33
Sean Longstaff,30
Dwight McNeil,30
Declan Rice,30
Juraj Kucka,29
Pierre Lees-Melou,29
Valentino Livramento,28
Christian Nørgaard,28
Oriol Romeu,28
Maximilian Kilman,27
Emerson Royal,27
Nélson Semedo,26
Conor Gallagher,26
Sergi Canós,25
Liam Cooper,25
James McArthur,25
Oliver Skipp,25
Tomas Soucek,25
Joël Veltman,25
Joseph Willock,25
Matthew Cash,24
Timothy Castagne,24
Lucas Digne,24
Isaac Hayden,24
Mateo Kovacic,24
Wilfred Ndidi,24
Mohammed Salisu,24
João Moutinho,24
Ricardo Pereira,23
Yves Bissouma,23
João Cancelo,23
Marçal,23
César Azpilicueta,22
Rúben Neves,22
Aaron Wan-Bissaka,22
Joel Ward,22
Stuart Dallas,21
Adam Lallana,21
Matthew Lowton,21
Pascal Struijk,21
Séamus Coleman,20
Marc Cucurella,20
Emmanuel Dennis,20
Abdoulaye Doucouré,20
Vitaly Janelt,20
Cheikhou Kouyaté,20
John McGinn,20
Fred,20
Çaglar Söyüncü,20
Josh Brownhill,19
Jorginho,19
Jacob Murphy,19
Kalvin Phillips,19
Matt Ritchie,19
Jamie Shackleton,19
Youri Tielemans,19
Andros Townsend,19
Jarrod Bowen,18
Rúben Dias,18
Michael Keane,18
Javier Manquillo,18
Takehiro Tomiyasu,18
Max Aarons,17
Miguel Almirón,17
Pablo Fornals,17
Rodri,17
Sergio Reguilón,17
Leandro Trossard,17
Bernardo Silva,17
Jordan Ayew,16
Ben Godfrey,16
Naby Keïta,16
Frank Onyeka,16
Cristian Romero,16
Albert Sambi Lokonga,16
James Tarkowski,16
Bruno Fernandes,15
Emiliano Buendía,15
Trevoh Chalobah,15
Vladimir Coufal,15
Jordan Henderson,15
Ben Johnson,15
Kenny McLean,15
Charlie Taylor,15
Alexis Mac Allister,14
Thomas Partey,14
Jacob Ramsey,14
Danny Rose,14
Dele Alli,13
Saïd Benrahma,13
Todd Cantwell,13
Aaron Cresswell,13
Raphinha,13
Junior Firpo,13
Marc Guéhi,13
Harry Maguire,13
Jeremy Ngakia,13
Ethan Pinnock,13
