Player,Through Balls
Bruno Fernandes,11
João Cancelo,10
Sadio Mané,9
Youri Tielemans,9
Trent Alexander-Arnold,8
Rúben Neves,8
Mateo Kovacic,7
Allan Saint-Maximin,7
Mohamed Salah,7
Ivan Toney,7
Raphinha,6
Ilkay Gündogan,6
Kelechi Iheanacho,6
Roberto Firmino,5
Mason Greenwood,5
Raúl Jiménez,5
James Maddison,5
Mason Mount,5
Tanguy Ndombele,5
Paul Pogba,5
Albert Sambi Lokonga,5
Saïd Benrahma,4
Emiliano Buendía,4
Sergi Canós,4
Todd Cantwell,4
Gabriel Jesus,4
Pablo Fornals,4
Jordan Henderson,4
Harry Kane,4
Pierre Lees-Melou,4
Riyad Mahrez,4
John McGinn,4
Rodrigo,4
Mathias Normann,4
Lucas Moura,4
Danny Rose,4
João Moutinho,4
Fabinho,4
Max Aarons,3
Che Adams,3
Michail Antonio,3
Adam Armstrong,3
Marc Cucurella,3
Stuart Dallas,3
Kevin De Bruyne,3
Pierre-Emile Højbjerg,3
Danny Ings,3
Mateusz Klich,3
Victor Lindelöf,3
Neal Maupay,3
Bryan Mbeumo,3
Thomas Partey,3
Nathan Redmond,3
Oriol Romeu,3
Diogo Jota,3
Leandro Trossard,3
Virgil van Dijk,3
Bernardo Silva,3
Ashley Westwood,3
Wilfried Zaha,3
Hakim Ziyech,3
Pierre-Emerick Aubameyang,2
Jordan Ayew,2
Christian Benteke,2
Jarrod Bowen,2
Trevoh Chalobah,2
Fabian Delph,2
Cristiano Ronaldo,2
Gabriel Magalhães,2
Abdoulaye Doucouré,2
Phil Foden,2
Jorginho,2
Pascal Groß,2
N'Golo Kanté,2
Naby Keïta,2
Alexandre Lacazette,2
Aymeric Laporte,2
Matthew Lowton,2
Romelu Lukaku,2
Gabriel Martinelli,2
James McArthur,2
Dwight McNeil,2
Alex Oxlade-Chamberlain,2
Andrew Robertson,2
Fred,2
Antonio Rüdiger,2
Bukayo Saka,2
Jadon Sancho,2
Luke Shaw,2
Emile Smith Rowe,2
Douglas Luiz,2
Jamie Vardy,2
Joël Veltman,2
Granit Xhaka,2
Martin Ødegaard,2
Kristoffer Ajer,1
Marcos Alonso,1
Folarin Balogun,1
Patrick Bamford,1
Ross Barkley,1
Harvey Barnes,1
Ashley Barnes,1
Steven Bergwijn,1
Tom Cleverley,1
Conor Coady,1
Liam Cooper,1
Patson Daka,1
Tom Davies,1
Richarlison,1
Emmanuel Dennis,1
Eric Dier,1
Moussa Djenepo,1
Anwar El Ghazi,1
Harvey Elliott,1
Federico Fernández,1
Conor Gallagher,1
Rúben Dias,1
Saman Ghoddos,1
Billy Gilmour,1
Demarai Gray,1
Jack Grealish,1
Jóhann Gudmundsson,1
Grant Hanley,1
Jack Harrison,1
Kai Havertz,1
Rodri,1
Hwang Hee-Chan,1
Alex Iwobi,1
Vitaly Janelt,1
Pontus Jansson,1
Curtis Jones,1
Ibrahima Konaté,1
Valentino Livramento,1
Diego Llorente,1
Hugo Lloris,1
Ruben Loftus-Cheek,1
Ademola Lookman,1
Fernandinho,1
Alexis Mac Allister,1
Trincão,1
Ainsley Maitland-Niles,1
Nemanja Matic,1
Joel Matip,1
Kenny McLean,1
Scott McTominay,1
Luka Milivojevic,1
Jakub Moder,1
Bali Mumba,1
Enock Mwepu,1
Marvelous Nakamba,1
Wilfred Ndidi,1
Nicolas Pépé,1
Kalvin Phillips,1
Jordan Pickford,1
Teemu Pukki,1
Christian Pulisic,1
Jacob Ramsey,1
Sergio Reguilón,1
Tyler Roberts,1
Cristian Romero,1
Robert Sánchez,1
Ederson,1
Ismaila Sarr,1
Fabian Schär,1
Jonjo Shelvey,1
Oliver Skipp,1
Raheem Sterling,1
Matt Targett,1
Nathan Tella,1
Ferran Torres,1
Andros Townsend,1
Ozan Tufan,1
Kyle Walker,1
Adam Webster,1
Timo Werner,1
Matt Ritchie,0
Joseph Willock,0
